i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
2051-001,2014-15,Mainland Rural,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1.386294361
2052-001,2012-13,Mainland Rural,0,0,4,0,0,0,0,0,0,2,2,0,0,0,2.079441542
2052-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1.098612289
2053-001,2012-13,Mainland Other Urban,2,0,0,0,0,2,0,2,0,0,0,2,0,0,2.079441542
2054-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
2055-001,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1.791759469
2056-001,2012-13,Mainland Rural,2,0,4,0,0,2,0,0,0,0,2,2,0,0,2.48490665
2057-001,2012-13,Mainland Rural,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1.386294361
2058-001,2012-13,Mainland Rural,0,2,2,2,0,2,0,0,0,0,2,2,0,0,2.48490665
2059-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2060-001,2012-13,Mainland Rural,2,0,0,4,2,0,0,0,0,2,2,2,0,0,2.63905733
2061-001,2012-13,Mainland Rural,0,0,0,2,1,0,0,0,0,1,1,1,0,0,1.791759469
2062-001,2012-13,Mainland Rural,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1.945910149
2063-001,2012-13,Mainland Rural,0,2,0,4,0,2,0,0,0,2,2,0,0,0,2.48490665
2064-001,2012-13,Mainland Rural,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1.791759469
2064-001,2014-15,Mainland Rural,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.6931471806
2065-001,2012-13,Mainland Rural,2,0,0,2,2,2,0,0,0,0,2,2,0,0,2.48490665
2065-001,2014-15,Mainland Rural,1,0,1,1,0,2,0,0,0,0,1,1,0,0,1.945910149
2066-001,2012-13,Mainland Rural,0,2,2,0,0,0,2,0,0,0,0,2,0,0,2.079441542
2066-001,2014-15,Mainland Rural,0,0,0,1,2,0,1,1,0,0,0,1,1,0,1.945910149
2067-001,2012-13,Mainland Rural,3,3,3,0,6,0,0,0,0,3,3,0,0,0,3.044522438
2067-001,2014-15,Mainland Rural,0,0,0,0,0,2,1,0,0,1,0,1,1,0,1.791759469
2068-001,2014-15,Mainland Rural,1,0,1,1,0,3,0,0,0,0,1,1,0,1,2.197224577
2069-001,2012-13,Mainland Rural,2,0,2,0,2,2,4,0,0,0,0,2,0,0,2.63905733
2069-001,2014-15,Mainland Rural,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1.609437912
2070-001,2012-13,Mainland Rural,0,2,2,0,2,0,0,0,0,2,0,0,0,0,2.079441542
2070-001,2014-15,Mainland Rural,0,0,1,0,0,0,2,1,1,0,0,0,1,1,1.945910149
2071-001,2012-13,Mainland Other Urban,0,0,0,2,0,0,0,0,2,2,0,0,0,0,1.791759469
2071-003,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1.386294361
2072-001,2012-13,Mainland Other Urban,4,0,0,0,0,0,0,0,2,2,0,0,0,0,2.079441542
2072-001,2014-15,Mainland Rural,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1.791759469
2073-001,2012-13,Mainland Other Urban,3,3,3,0,3,0,0,3,0,0,3,3,0,0,3.044522438
2074-001,2012-13,Mainland Other Urban,0,0,0,0,2,2,0,0,2,0,0,0,2,4,2.48490665
2075-002,2012-13,Mainland Other Urban,0,0,0,0,2,0,2,0,0,2,0,0,0,0,1.791759469
2076-001,2012-13,Mainland Other Urban,0,2,0,0,0,0,0,2,0,2,0,2,2,0,2.302585093
2077-001,2012-13,Mainland Other Urban,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1.609437912
2078-001,2012-13,Mainland Other Urban,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1.098612289
2079-001,2012-13,Mainland Other Urban,0,2,0,2,2,0,0,0,0,0,2,2,0,0,2.302585093
2080-001,2012-13,Mainland Rural,0,0,4,0,2,0,0,2,0,0,0,2,0,0,2.302585093
2080-005,2012-13,Mainland Rural,0,2,0,0,0,0,0,2,2,0,0,0,0,0,1.791759469
2081-001,2012-13,Mainland Rural,0,0,0,0,1,2,0,0,0,0,0,1,0,0,1.386294361
2082-001,2012-13,Mainland Rural,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1.386294361
2083-001,2012-13,Mainland Rural,0,2,2,0,0,0,0,0,2,2,0,0,0,0,2.079441542
2083-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1.386294361
2084-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2084-001,2014-15,Mainland Other Urban,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
2085-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2085-001,2014-15,Mainland Other Urban,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1.386294361
2085-002,2012-13,Mainland Rural,0,0,0,0,2,0,0,0,2,2,0,2,0,0,2.079441542
2086-001,2012-13,Mainland Rural,0,2,2,0,0,0,0,2,2,2,0,0,0,0,2.302585093
2086-001,2014-15,Mainland Other Urban,0,0,0,2,2,1,1,0,0,0,1,1,0,0,2.079441542
2087-001,2012-13,Mainland Rural,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1.386294361
2087-001,2014-15,Mainland Other Urban,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
2088-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.6931471806
2088-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
2089-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2089-001,2014-15,Mainland Other Urban,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1.386294361
2090-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1.609437912
2091-001,2012-13,Mainland Rural,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1.791759469
2092-001,2012-13,Mainland Other Urban,0,2,0,2,2,0,0,0,0,2,2,0,0,0,2.302585093
2093-001,2012-13,Mainland Rural,0,0,0,0,3,0,0,3,0,0,0,6,3,0,2.708050201
2094-001,2012-13,Mainland Other Urban,0,0,0,0,2,2,0,0,2,0,0,0,2,2,2.302585093
2094-004,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,2,2,0,0,2,0,0,1.791759469
2095-001,2012-13,Mainland Other Urban,0,3,0,0,0,0,0,3,3,0,0,0,0,0,2.197224577
2096-001,2012-13,Mainland Rural,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1.791759469
2097-001,2012-13,Mainland Other Urban,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1.098612289
2097-002,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1.386294361
2098-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2099-001,2012-13,Mainland Rural,3,0,6,3,0,0,0,0,0,3,3,0,0,0,2.890371758
2100-001,2012-13,Mainland Rural,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1.098612289
2100-003,2012-13,Mainland Rural,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1.386294361
2101-001,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1.791759469
21010100030044,2008-09,Mainland Rural,2,4,0,2,4,0,0,6,0,0,2,2,0,0,3.091042453
2101010003004401,2010-11,Mainland Rural,2,2,0,4,2,2,2,4,0,0,2,2,0,0,3.091042453
2101010003004403,2010-11,Mainland Rural,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1.386294361
21010100030112,2008-09,Mainland Rural,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1.098612289
2101010003011201,2010-11,Mainland Rural,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1.098612289
21010100030115,2008-09,Mainland Rural,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1.386294361
2101010003011501,2010-11,Mainland Rural,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1.386294361
21010100030124,2008-09,Mainland Rural,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1.098612289
2101010003012401,2010-11,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
21010100030193,2008-09,Mainland Rural,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1.386294361
2101010003019301,2010-11,Mainland Rural,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1.386294361
21010100030317,2008-09,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
2101010003031701,2010-11,Mainland Rural,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
21010100030419,2008-09,Mainland Rural,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1.609437912
