i,t,m,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
0633-001,2014-15,Mainland Rural,0,0,0,0,1,1,3,0,0,0,0,1,0,2,2.079441542
0633-011,2014-15,Mainland Rural,0,0,0,1,1,0,0,0,1,0,0,0,1,2,1.791759469
0634-001,2012-13,Mainland Rural,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1.609437912
0634-001,2014-15,Mainland Rural,3,0,6,6,9,0,3,0,3,3,0,0,3,0,3.583518938
0634-007,2014-15,Mainland Rural,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
0636-001,2014-15,Mainland Rural,2,2,0,0,0,0,2,0,2,2,0,0,0,0,2.302585093
0637-001,2012-13,Mainland Rural,0,0,0,0,2,2,2,0,0,0,0,0,2,2,2.302585093
0637-001,2014-15,Mainland Rural,2,2,2,2,4,0,4,0,2,2,2,2,0,0,3.17805383
0638-001,2012-13,Mainland Rural,0,0,0,0,0,0,2,0,0,0,0,2,2,0,1.791759469
0638-001,2014-15,Mainland Rural,0,2,0,2,0,2,0,0,0,0,2,2,0,0,2.302585093
0639-001,2012-13,Mainland Rural,0,0,2,0,0,0,0,0,0,0,2,2,0,0,1.791759469
0639-007,2014-15,Mainland Rural,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1.609437912
0640-001,2014-15,Mainland Rural,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
0641-001,2012-13,Dar Es Salaam,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1.609437912
0641-001,2014-15,Mainland Rural,6,0,3,3,0,3,0,0,0,0,0,3,0,0,2.890371758
0641-003,2012-13,Mainland Rural,0,0,0,0,0,4,2,0,0,0,0,0,2,4,2.48490665
0642-001,2012-13,Mainland Rural,0,0,2,2,0,0,0,0,2,0,0,0,0,2,2.079441542
0642-001,2014-15,Mainland Rural,5,0,5,5,5,0,5,10,5,5,0,5,5,0,4.007333185
0642-002,2012-13,Mainland Rural,0,3,0,3,0,0,0,0,3,3,3,0,3,3,3.044522438
0642-106,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1.386294361
0643-001,2012-13,Mainland Rural,2,0,0,2,0,4,4,0,0,0,0,2,2,2,2.890371758
0643-001,2014-15,Mainland Rural,2,0,2,2,0,2,0,0,2,4,0,0,2,2,2.890371758
0643-003,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0644-001,2012-13,Dar Es Salaam,3,0,0,0,0,0,0,3,3,0,0,0,0,0,2.197224577
0644-001,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0645-001,2012-13,Dar Es Salaam,3,0,0,3,0,0,0,0,0,3,3,0,0,0,2.48490665
0645-001,2014-15,Mainland Rural,0,2,0,0,0,2,0,0,0,1,1,0,0,0,1.791759469
0646-001,2012-13,Mainland Other Urban,6,0,0,0,0,0,0,0,3,3,0,0,0,0,2.48490665
0646-001,2014-15,Mainland Rural,0,3,6,0,0,3,0,0,0,0,3,3,0,0,2.890371758
0647-001,2012-13,Mainland Rural,0,2,2,2,8,0,4,0,0,0,0,2,2,2,3.17805383
0647-001,2014-15,Mainland Rural,0,2,4,0,0,0,0,0,2,2,0,0,0,0,2.302585093
0648-001,2012-13,Dar Es Salaam,0,0,2,0,0,0,4,0,0,0,2,2,0,0,2.302585093
0648-001,2014-15,Mainland Rural,2,0,0,2,0,0,0,0,0,2,2,0,0,0,2.079441542
0649-001,2012-13,Mainland Rural,0,0,2,1,1,0,0,0,0,1,1,0,0,1,1.945910149
0649-001,2014-15,Mainland Rural,0,0,0,0,0,8,0,0,0,0,0,0,0,2,2.302585093
0650-001,2012-13,Mainland Rural,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1.791759469
0651-001,2012-13,Mainland Rural,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1.386294361
0651-001,2014-15,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0652-001,2012-13,Mainland Rural,0,6,0,3,0,0,0,0,3,3,0,0,0,0,2.708050201
0652-001,2014-15,Mainland Rural,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1.791759469
0652-003,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0653-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1.386294361
0653-001,2014-15,Mainland Rural,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1.945910149
0654-001,2012-13,Mainland Rural,6,0,0,3,0,3,0,0,0,3,3,0,0,0,2.890371758
0654-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1.386294361
0654-004,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
0655-001,2012-13,Mainland Rural,0,3,0,0,0,0,3,0,3,3,3,0,0,0,2.708050201
0655-001,2014-15,Mainland Rural,0,3,6,0,0,0,0,0,0,3,3,0,0,0,2.708050201
0656-001,2012-13,Mainland Rural,0,0,0,0,2,0,0,0,0,0,2,2,0,0,1.791759469
0656-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0657-001,2014-15,Mainland Rural,0,0,0,6,0,0,0,3,0,0,3,3,0,0,2.708050201
0657-002,2012-13,Mainland Rural,0,2,2,2,2,0,0,0,0,2,2,0,0,2,2.63905733
0658-001,2012-13,Mainland Rural,3,3,0,3,3,0,0,0,0,0,0,3,3,0,2.890371758
0658-001,2014-15,Mainland Rural,0,4,0,0,8,4,0,8,4,4,0,0,0,4,3.583518938
0658-005,2012-13,Dar Es Salaam,2,0,0,0,0,0,0,0,0,2,0,2,2,0,2.079441542
0659-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
0659-001,2014-15,Mainland Rural,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1.098612289
0660-001,2012-13,Mainland Rural,6,0,3,3,3,0,6,0,0,3,3,0,0,0,3.295836866
0660-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0660-002,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0660-007,2012-13,Dar Es Salaam,0,0,0,2,0,0,0,2,0,0,2,2,0,0,2.079441542
0661-001,2012-13,Mainland Other Urban,2,0,2,0,0,0,0,0,0,0,0,2,2,0,2.079441542
0661-002,2014-15,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0661-003,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0662-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1.386294361
0662-001,2014-15,Mainland Rural,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1.386294361
0662-002,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
0662-102,2012-13,Mainland Other Urban,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1.791759469
0663-001,2012-13,Mainland Other Urban,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0663-001,2014-15,Mainland Rural,2,0,2,0,0,2,0,0,0,2,0,0,2,0,2.302585093
0663-003,2014-15,Mainland Rural,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0664-001,2012-13,Mainland Other Urban,0,3,0,0,0,0,0,3,3,0,3,0,0,0,2.48490665
0664-001,2014-15,Mainland Rural,0,2,4,2,2,0,0,0,0,2,2,0,0,0,2.63905733
0665-001,2012-13,Mainland Other Urban,0,0,2,0,0,0,2,0,0,2,0,2,0,0,2.079441542
0665-001,2014-15,Mainland Rural,0,3,6,0,0,0,0,0,3,3,0,0,0,0,2.708050201
0666-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.6931471806
0666-001,2014-15,Mainland Rural,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1.791759469
0666-003,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.6931471806
0667-001,2012-13,Mainland Rural,0,0,2,0,2,0,2,0,2,0,0,0,2,4,2.63905733
0667-001,2014-15,Mainland Other Urban,0,0,2,2,0,0,0,2,0,0,2,2,0,0,2.302585093
0667-007,2012-13,Mainland Rural,2,0,2,0,0,4,0,2,0,0,2,0,0,0,2.48490665
0668-001,2012-13,Mainland Other Urban,2,0,2,0,2,0,0,0,0,0,2,2,0,0,2.302585093
0668-001,2014-15,Mainland Other Urban,0,1,0,0,0,1,0,2,0,0,0,1,0,0,1.609437912
0668-002,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0669-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,2,0,2,2,0,1.791759469
0669-001,2014-15,Mainland Other Urban,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1.609437912
0669-003,2012-13,Mainland Rural,2,0,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0670-001,2012-13,Mainland Rural,2,0,0,2,2,0,0,0,0,0,2,2,0,0,2.302585093
0671-001,2012-13,Mainland Rural,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1.098612289
0671-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1.386294361
0671-003,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0671-004,2012-13,Mainland Rural,0,0,0,0,0,2,0,0,2,2,0,0,0,2,2.079441542
0672-001,2012-13,Mainland Rural,0,2,2,0,0,0,2,0,0,2,2,2,2,0,2.63905733
0672-001,2014-15,Mainland Other Urban,3,0,0,3,0,0,0,0,0,3,3,0,0,0,2.48490665
0672-004,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
0673-001,2012-13,Mainland Rural,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
0674-001,2012-13,Mainland Rural,0,2,0,0,0,0,0,0,0,0,2,2,0,2,2.079441542
0674-001,2014-15,Mainland Other Urban,0,0,0,2,2,4,0,0,0,0,2,2,2,0,2.63905733
0675-001,2012-13,Mainland Rural,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0675-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,4,0,0,2,2,0,0,0,2.079441542
0676-001,2012-13,Mainland Rural,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1.945910149
0676-001,2014-15,Mainland Other Urban,0,0,0,0,0,2,0,2,0,2,0,2,0,0,2.079441542
0677-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1.386294361
0677-001,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
0678-001,2012-13,Dar Es Salaam,0,0,0,0,2,0,0,2,0,0,2,2,0,0,2.079441542
0678-001,2014-15,Mainland Other Urban,0,2,2,0,0,0,0,0,2,4,0,0,0,2,2.48490665
0679-001,2012-13,Mainland Other Urban,0,3,3,0,0,0,0,3,0,3,3,0,0,0,2.708050201
0679-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0679-104,2012-13,Mainland Rural,0,0,0,0,0,4,2,2,0,2,0,0,2,2,2.63905733
0680-001,2012-13,Dar Es Salaam,0,0,0,0,2,0,0,2,4,0,0,2,0,0,2.302585093
0680-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0680-002,2012-13,Dar Es Salaam,0,0,0,2,0,0,0,2,0,0,0,2,0,2,2.079441542
0681-001,2012-13,Dar Es Salaam,0,2,0,0,0,2,0,2,0,2,2,2,0,0,2.48490665
0681-001,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
0682-001,2012-13,Dar Es Salaam,3,0,3,6,6,0,0,6,9,0,6,9,0,0,3.871201011
0682-001,2014-15,Mainland Other Urban,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1.791759469
0683-001,2012-13,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
0683-001,2014-15,Mainland Other Urban,2,0,2,2,0,4,0,2,2,2,0,0,0,2,2.890371758
0683-002,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.6931471806
0683-005,2012-13,Mainland Other Urban,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1.386294361
0684-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,3,3,0,0,3,0,0,0,2.197224577
0684-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,2,1,2,0,0,0,0,1,1.791759469
0684-003,2012-13,Dar Es Salaam,0,0,2,0,0,0,2,0,2,0,0,0,0,0,1.791759469
0684-005,2014-15,Mainland Other Urban,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1.098612289
0685-001,2012-13,Dar Es Salaam,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.6931471806
0685-001,2014-15,Mainland Other Urban,0,4,0,0,0,0,0,0,2,2,0,0,0,0,2.079441542
0686-001,2012-13,Dar Es Salaam,0,0,0,0,2,0,2,0,0,4,2,0,0,2,2.48490665
0686-001,2014-15,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0687-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,4,0,0,0,0,0,2,1.791759469
0687-001,2014-15,Mainland Other Urban,0,0,0,0,2,0,0,2,2,2,2,2,0,0,2.48490665
0687-006,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.6931471806
0687-007,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0688-001,2012-13,Dar Es Salaam,2,0,2,0,0,0,0,0,0,0,2,2,0,0,2.079441542
0688-001,2014-15,Mainland Rural,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2.079441542
0689-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0689-001,2014-15,Mainland Other Urban,0,0,0,0,6,0,4,2,0,0,2,2,0,0,2.772588722
0690-001,2012-13,Dar Es Salaam,0,0,0,0,1,0,0,1,1,1,0,1,1,0,1.791759469
0690-001,2014-15,Mainland Other Urban,3,0,0,3,0,0,0,0,3,3,0,0,0,0,2.48490665
0691-001,2012-13,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
0691-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0692-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1.386294361
0692-002,2014-15,Mainland Other Urban,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1.609437912
0693-001,2012-13,Mainland Rural,0,0,2,0,0,2,0,0,2,0,0,0,2,2,2.302585093
0694-001,2012-13,Mainland Rural,0,0,2,2,0,0,0,0,2,0,2,2,0,0,2.302585093
0694-001,2014-15,Mainland Other Urban,0,0,1,1,1,0,0,1,0,1,1,1,0,0,1.945910149
0694-003,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0694-008,2014-15,Mainland Other Urban,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0695-001,2012-13,Dar Es Salaam,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1.098612289
0695-001,2014-15,Mainland Other Urban,0,0,0,0,0,0,2,0,0,0,0,2,2,2,2.079441542
0695-004,2014-15,Mainland Rural,1,3,1,2,1,0,0,0,0,1,0,1,0,1,2.397895273
0696-001,2012-13,Dar Es Salaam,2,0,0,0,0,0,0,0,4,2,0,0,2,2,2.48490665
0696-001,2014-15,Mainland Other Urban,2,2,0,2,2,0,4,2,0,0,0,2,0,2,2.890371758
0696-002,2014-15,Mainland Rural,2,2,0,0,0,0,0,0,0,2,2,0,0,0,2.079441542
0696-004,2014-15,Mainland Other Urban,3,0,0,0,0,0,0,0,0,1,0,0,1,0,1.609437912
0697-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,1,0,2,2,2,0,1,1,2.197224577
0697-001,2014-15,Mainland Other Urban,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1.386294361
0697-009,2012-13,Dar Es Salaam,0,2,0,0,0,0,0,0,0,2,2,0,0,0,1.791759469
0698-001,2012-13,Mainland Other Urban,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0698-001,2014-15,Mainland Other Urban,0,3,3,3,3,3,0,0,0,0,0,3,3,0,3.044522438
0698-003,2014-15,Mainland Rural,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1.098612289
0698-009,2014-15,Mainland Rural,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0.6931471806
0699-001,2012-13,Dar Es Salaam,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2.079441542
0699-001,2014-15,Mainland Other Urban,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1.386294361
0700-001,2012-13,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0700-001,2014-15,Mainland Other Urban,0,0,0,0,0,3,1,0,0,0,1,1,0,0,1.791759469
0701-001,2012-13,Dar Es Salaam,0,0,3,0,0,0,0,3,0,3,3,0,0,0,2.48490665
0701-001,2014-15,Dar Es Salaam,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1.609437912
0701-003,2012-13,Dar Es Salaam,0,0,0,0,6,0,0,0,3,3,0,3,0,0,2.708050201
0701-003,2014-15,Dar Es Salaam,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1.386294361
7010010040014,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7010010040021,2008-09,Dar Es Salaam,0,0,3,0,0,0,0,3,0,6,0,0,0,0,2.48490665
701001004002101,2010-11,Dar Es Salaam,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1.386294361
7010010040038,2008-09,Dar Es Salaam,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1.098612289
701001004003801,2010-11,Dar Es Salaam,0,0,2,0,0,2,0,0,0,0,2,2,0,0,2.079441542
7010010040082,2008-09,Dar Es Salaam,0,4,0,0,0,0,0,0,0,0,4,4,0,4,2.772588722
701001004008201,2010-11,Dar Es Salaam,0,2,0,0,0,0,0,2,0,2,2,0,0,0,2.079441542
701001004008202,2010-11,Dar Es Salaam,0,0,0,0,2,2,0,0,0,0,0,4,0,0,2.079441542
7010010040086,2008-09,Dar Es Salaam,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1.609437912
701001004008601,2010-11,Dar Es Salaam,0,2,0,2,0,0,0,2,0,2,2,2,0,0,2.48490665
7010010040112,2008-09,Dar Es Salaam,0,2,0,2,0,2,4,2,2,0,2,2,0,0,2.890371758
701001004011201,2010-11,Dar Es Salaam,2,2,0,2,0,0,2,4,4,2,2,4,0,0,3.17805383
7010010040133,2008-09,Dar Es Salaam,2,0,0,0,2,0,0,2,0,0,2,2,0,0,2.302585093
701001004013301,2010-11,Dar Es Salaam,2,0,0,0,2,0,0,0,0,2,2,2,0,0,2.302585093
7010010040147,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
701001004014701,2010-11,Dar Es Salaam,0,0,0,0,0,0,6,0,0,0,3,0,0,0,2.197224577
7010010340005,2008-09,Dar Es Salaam,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1.386294361
7010010340015,2008-09,Dar Es Salaam,2,0,0,0,0,2,0,0,0,0,0,2,0,0,1.791759469
701001034001501,2010-11,Dar Es Salaam,0,0,2,0,0,2,0,0,0,0,0,2,0,0,1.791759469
7010010340032,2008-09,Dar Es Salaam,0,0,0,0,0,2,0,2,0,4,0,2,0,0,2.302585093
701001034003201,2010-11,Dar Es Salaam,3,0,0,0,0,0,0,3,0,3,0,3,0,3,2.708050201
7010010340046,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1.791759469
701001034004601,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,6,3,0,0,0,0,3,2.48490665
7010010340052,2008-09,Dar Es Salaam,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1.098612289
701001034005201,2010-11,Dar Es Salaam,2,0,2,0,0,0,0,0,0,0,2,2,0,0,2.079441542
7010010340055,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
701001034005501,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7010010340059,2008-09,Dar Es Salaam,0,0,1,0,0,1,1,1,0,0,0,1,1,0,1.791759469
701001034005901,2010-11,Dar Es Salaam,0,0,0,0,1,0,0,2,1,0,0,1,1,0,1.791759469
7010010340060,2008-09,Dar Es Salaam,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1.386294361
701001034006001,2010-11,Dar Es Salaam,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1.386294361
7010040240020,2008-09,Dar Es Salaam,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
7010040240022,2008-09,Dar Es Salaam,0,3,0,0,0,0,0,0,6,3,0,0,0,0,2.48490665
701004024002201,2010-11,Dar Es Salaam,0,3,0,0,3,0,0,0,3,3,0,0,0,0,2.48490665
701004024002204,2010-11,Mainland Rural,0,0,2,0,0,2,0,0,2,0,0,2,2,0,2.302585093
7010040240024,2008-09,Dar Es Salaam,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1.386294361
7010040240030,2008-09,Dar Es Salaam,0,2,2,0,0,0,0,0,0,0,2,2,0,0,2.079441542
701004024003001,2010-11,Mainland Rural,0,4,4,0,0,0,0,0,8,4,4,4,0,0,3.33220451
7010040240042,2008-09,Dar Es Salaam,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1.098612289
701004024004201,2010-11,Dar Es Salaam,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1.098612289
7010040240046,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361
701004024004601,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1.386294361
7010040240049,2008-09,Dar Es Salaam,0,0,0,0,2,0,2,0,8,4,0,0,2,2,2.995732274
701004024004901,2010-11,Dar Es Salaam,0,0,0,0,2,0,2,0,4,4,4,0,2,2,2.995732274
7010040240063,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.386294361
701004024006301,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.386294361
7010041110005,2008-09,Dar Es Salaam,2,2,0,0,0,0,0,0,2,2,0,0,0,0,2.079441542
701004111000501,2010-11,Dar Es Salaam,2,0,0,2,0,0,0,0,2,2,0,0,0,0,2.079441542
7010041110007,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
701004111000701,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7010041110022,2008-09,Dar Es Salaam,0,0,4,0,4,0,4,0,0,0,4,4,0,0,2.995732274
701004111002201,2010-11,Dar Es Salaam,0,0,4,0,4,0,4,0,0,0,4,4,0,0,2.995732274
7010041110025,2008-09,Dar Es Salaam,0,3,0,3,0,0,3,3,3,0,0,3,0,0,2.890371758
701004111002501,2010-11,Dar Es Salaam,0,6,0,0,0,0,3,0,3,3,0,3,0,0,2.890371758
7010041110041,2008-09,Dar Es Salaam,0,0,3,3,0,3,0,6,0,3,3,3,0,0,3.17805383
701004111004101,2010-11,Dar Es Salaam,0,0,2,0,0,4,0,2,0,2,0,2,2,0,2.63905733
7010041110062,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,6,3,0,0,0,0,2.197224577
701004111006201,2010-11,Dar Es Salaam,3,0,0,0,0,0,0,0,0,3,3,0,0,0,2.197224577
7010041110066,2008-09,Dar Es Salaam,5,5,0,0,0,0,5,5,5,10,0,0,5,0,3.688879454
701004111006601,2010-11,Dar Es Salaam,14,7,7,0,0,0,0,7,7,28,0,0,7,0,4.343805422
7010041110070,2008-09,Dar Es Salaam,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1.098612289
701004111007001,2010-11,Dar Es Salaam,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
7010041360002,2008-09,Dar Es Salaam,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
701004136000201,2010-11,Dar Es Salaam,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.6931471806
7010041360009,2008-09,Dar Es Salaam,0,0,0,0,4,0,0,4,4,4,0,4,0,0,2.995732274
701004136000901,2010-11,Dar Es Salaam,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
701004136000902,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
701004136000904,2010-11,Dar Es Salaam,0,2,0,0,0,0,0,0,2,2,0,0,0,0,1.791759469
7010041360015,2008-09,Dar Es Salaam,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1.386294361
701004136001501,2010-11,Dar Es Salaam,0,2,0,2,2,0,0,0,0,0,2,2,0,0,2.302585093
7010041360016,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.6931471806
701004136001601,2010-11,Dar Es Salaam,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1.791759469
7010041360023,2008-09,Dar Es Salaam,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1.098612289
701004136002301,2010-11,Dar Es Salaam,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.098612289
7010041360029,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,0,4,2,2,0,0,2.079441542
701004136002901,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.098612289
701004136002903,2010-11,Mainland Other Urban,0,4,0,0,0,0,0,4,8,4,4,0,0,0,3.17805383
7010041360035,2008-09,Dar Es Salaam,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1.386294361
701004136003501,2010-11,Dar Es Salaam,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1.386294361
7010041360050,2008-09,Dar Es Salaam,0,0,0,2,0,0,0,0,0,2,2,0,0,0,1.791759469
701004136005001,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7010041450013,2008-09,Dar Es Salaam,0,2,0,0,2,2,0,2,0,2,2,2,0,0,2.63905733
701004145001301,2010-11,Dar Es Salaam,0,5,0,0,5,5,0,0,15,10,5,5,0,0,3.912023005
7010041450014,2008-09,Dar Es Salaam,5,5,0,5,0,0,0,5,0,5,15,10,0,5,4.007333185
701004145001401,2010-11,Dar Es Salaam,2,0,0,0,2,0,0,0,0,2,2,2,0,2,2.48490665
701004145001402,2010-11,Dar Es Salaam,0,6,0,0,0,3,0,3,0,0,0,3,0,0,2.708050201
701004145001405,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1.386294361
7010041450025,2008-09,Dar Es Salaam,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
701004145002501,2010-11,Dar Es Salaam,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7010041450029,2008-09,Dar Es Salaam,0,0,3,0,0,0,0,0,6,0,0,3,0,0,2.48490665
701004145002901,2010-11,Dar Es Salaam,0,0,0,0,2,0,0,0,0,0,2,2,0,0,1.791759469
