i,t,m,j,Expenditure
2620-001-01,2020-21,Mainland Rural,Wheat Flour,7500
2637-001-01,2020-21,Mainland Rural,Beef,3000
2637-001-01,2020-21,Mainland Rural,Cooking Oil,1250
2637-001-01,2020-21,Mainland Rural,Dairy Products,1750
2637-001-01,2020-21,Mainland Rural,Fish (dried),866.6666667
2637-001-01,2020-21,Mainland Rural,Irish Potatoes,1000
2637-001-01,2020-21,Mainland Rural,Leafy Greens,400.5340454
2637-001-01,2020-21,Mainland Rural,Maize (flour),2000
2637-001-01,2020-21,Mainland Rural,"Maize (green, cob)",138.8888889
2637-001-01,2020-21,Mainland Rural,Milk (fresh),3500
2637-001-01,2020-21,Mainland Rural,Other Fruits,322.5806452
2637-001-01,2020-21,Mainland Rural,Plantains,830.2583026
2637-001-01,2020-21,Mainland Rural,Pulses,1000
2637-001-01,2020-21,Mainland Rural,Rice (husked),2800
2637-001-01,2020-21,Mainland Rural,Ripe Bananas,720
2637-001-01,2020-21,Mainland Rural,Salt,100
2637-001-01,2020-21,Mainland Rural,Sugarcane,615.7894737
2637-001-01,2020-21,Mainland Rural,Sweet Potatoes,473.6094498
2637-001-01,2020-21,Mainland Rural,Vegetables (fresh),1804.340836
2637-001-01,2020-21,Mainland Rural,Yams/Cocoyams,1025.641026
2654-001-01,2020-21,Mainland Other Urban,Beef,14000
2654-001-01,2020-21,Mainland Other Urban,Bread,13068.84481
2654-001-01,2020-21,Mainland Other Urban,Chicken,10000
2654-001-01,2020-21,Mainland Other Urban,Citrus Fruits,1455.009032
2654-001-01,2020-21,Mainland Other Urban,Cooking Oil,1250
2654-001-01,2020-21,Mainland Other Urban,Eggs,3200
2654-001-01,2020-21,Mainland Other Urban,Leafy Greens,11659.97488
2654-001-01,2020-21,Mainland Other Urban,Maize (flour),14000
2654-001-01,2020-21,Mainland Other Urban,Maize (grain),2400
2654-001-01,2020-21,Mainland Other Urban,Pulses,2000
2654-001-01,2020-21,Mainland Other Urban,Rice (husked),3000
2654-001-01,2020-21,Mainland Other Urban,Ripe Bananas,1283.333333
2654-001-01,2020-21,Mainland Other Urban,Salt,250
2654-001-01,2020-21,Mainland Other Urban,Sugar,2800
2654-001-01,2020-21,Mainland Other Urban,Tea (dry),3500
2654-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),1262.254902
2675-001-01,2020-21,Mainland Rural,Beef,12000
2675-001-01,2020-21,Mainland Rural,Bread,4000
2675-001-01,2020-21,Mainland Rural,Cooking Oil,1750
2675-001-01,2020-21,Mainland Rural,Dairy Products,3000
2675-001-01,2020-21,Mainland Rural,Leafy Greens,2242.990654
2675-001-01,2020-21,Mainland Rural,Maize (flour),7000
2675-001-01,2020-21,Mainland Rural,Milk (fresh),3000
2675-001-01,2020-21,Mainland Rural,Plantains,4704.797048
2675-001-01,2020-21,Mainland Rural,Pork,10000
2675-001-01,2020-21,Mainland Rural,Pulses,4000
2675-001-01,2020-21,Mainland Rural,Rice (husked),2800
2675-001-01,2020-21,Mainland Rural,Ripe Bananas,2500
2675-001-01,2020-21,Mainland Rural,Salt,120
2675-001-01,2020-21,Mainland Rural,Sugar,2800
2675-001-01,2020-21,Mainland Rural,Tea (dry),200
2675-001-01,2020-21,Mainland Rural,Vegetables (fresh),2165.209003
2691-001-02,2020-21,Mainland Rural,Bread,2000
2691-001-02,2020-21,Mainland Rural,Cassava Dry/Flour,2100
2691-001-02,2020-21,Mainland Rural,Cooking Oil,5000
2691-001-02,2020-21,Mainland Rural,Dairy Products,3000
2691-001-02,2020-21,Mainland Rural,Irish Potatoes,1500
2691-001-02,2020-21,Mainland Rural,Leafy Greens,1201.602136
2691-001-02,2020-21,Mainland Rural,Maize (flour),14000
2691-001-02,2020-21,Mainland Rural,Millet & Sorghum (flour),5250
2691-001-02,2020-21,Mainland Rural,Other Fruits,9677.419355
2691-001-02,2020-21,Mainland Rural,Ripe Bananas,1800
2691-001-02,2020-21,Mainland Rural,Salt,125
2691-001-02,2020-21,Mainland Rural,Sugar,2800
2691-001-02,2020-21,Mainland Rural,Tea (dry),120
2691-001-02,2020-21,Mainland Rural,Vegetables (fresh),5653.601286
2717-001-01,2020-21,Mainland Rural,Bottled Beer,15750
2717-001-01,2020-21,Mainland Rural,Chicken,4333.333333
2717-001-01,2020-21,Mainland Rural,Cooking Oil,1250
2717-001-01,2020-21,Mainland Rural,Irish Potatoes,3000
2717-001-01,2020-21,Mainland Rural,Leafy Greens,1121.495327
2717-001-01,2020-21,Mainland Rural,Local Brews,5000
2717-001-01,2020-21,Mainland Rural,Maize (flour),2000
2717-001-01,2020-21,Mainland Rural,Plantains,1107.01107
2717-001-01,2020-21,Mainland Rural,Rice (husked),2800
2717-001-01,2020-21,Mainland Rural,Salt,100
2717-001-01,2020-21,Mainland Rural,Sugar,1400
2717-001-01,2020-21,Mainland Rural,Tea (dry),150
2717-001-01,2020-21,Mainland Rural,Vegetables (fresh),1443.472669
2755-001-01,2020-21,Zanzibar,Beef,5000
2755-001-01,2020-21,Zanzibar,"Butter, Etc.",1000
2755-001-01,2020-21,Zanzibar,Coconuts,2400
2755-001-01,2020-21,Zanzibar,Cooking Oil,4000
2755-001-01,2020-21,Zanzibar,Irish Potatoes,2000
2755-001-01,2020-21,Zanzibar,Leafy Greens,1900
2755-001-01,2020-21,Zanzibar,Milk (fresh),3000
2755-001-01,2020-21,Zanzibar,Other Fruits,6000
2755-001-01,2020-21,Zanzibar,Other Spices,375
2755-001-01,2020-21,Zanzibar,Plantains,6000
2755-001-01,2020-21,Zanzibar,Rice (husked),6720
2755-001-01,2020-21,Zanzibar,Salt,250
2755-001-01,2020-21,Zanzibar,Sugar,1500
2755-001-01,2020-21,Zanzibar,Tea (dry),200
2755-001-01,2020-21,Zanzibar,Vegetables (fresh),800
2755-001-01,2020-21,Zanzibar,Wheat Flour,3000
2770-001-01,2020-21,Zanzibar,Cassava Fresh,1500
2770-001-01,2020-21,Zanzibar,Coconuts,900
2770-001-01,2020-21,Zanzibar,Cooking Oil,2000
2770-001-01,2020-21,Zanzibar,Fish (fresh),13178.57143
2770-001-01,2020-21,Zanzibar,Irish Potatoes,500
2770-001-01,2020-21,Zanzibar,Rice (husked),5040
2770-001-01,2020-21,Zanzibar,Ripe Bananas,2000
2770-001-01,2020-21,Zanzibar,Salt,250
2770-001-01,2020-21,Zanzibar,Sugar,2000
2770-001-01,2020-21,Zanzibar,Tea (dry),250
2770-001-01,2020-21,Zanzibar,Vegetables (fresh),3200
2770-001-01,2020-21,Zanzibar,Wheat Flour,4500
2789-001-01,2020-21,Zanzibar,"Buns, Cakes And Biscuits",5000
2789-001-01,2020-21,Zanzibar,Coconuts,1200
2789-001-01,2020-21,Zanzibar,Fish (fresh),30750
2789-001-01,2020-21,Zanzibar,Leafy Greens,1900
2789-001-01,2020-21,Zanzibar,Maize (flour),1400
2789-001-01,2020-21,Zanzibar,Plantains,48000
2789-001-01,2020-21,Zanzibar,Rice (husked),6720
2789-001-01,2020-21,Zanzibar,Salt,250
2789-001-01,2020-21,Zanzibar,Sugar,1500
2789-001-01,2020-21,Zanzibar,Tea (dry),150
2789-001-01,2020-21,Zanzibar,Vegetables (fresh),2800
2826-001-01,2020-21,Zanzibar,Bread,800
2826-001-01,2020-21,Zanzibar,"Buns, Cakes And Biscuits",530
2826-001-01,2020-21,Zanzibar,Cooking Oil,2000
2826-001-01,2020-21,Zanzibar,Fish (fresh),13178.57143
2826-001-01,2020-21,Zanzibar,Groundnuts,2500
2826-001-01,2020-21,Zanzibar,Irish Potatoes,500
2826-001-01,2020-21,Zanzibar,Maize (flour),700
2826-001-01,2020-21,Zanzibar,Other Fruits,1500
2826-001-01,2020-21,Zanzibar,Pulses,700
2826-001-01,2020-21,Zanzibar,Rice (husked),5040
2826-001-01,2020-21,Zanzibar,Ripe Bananas,600
2826-001-01,2020-21,Zanzibar,Salt,200
2826-001-01,2020-21,Zanzibar,Soft drinks,4000
2826-001-01,2020-21,Zanzibar,Sugar,500
2826-001-01,2020-21,Zanzibar,Sugarcane,1000
2826-001-01,2020-21,Zanzibar,Tea (dry),300
2826-001-01,2020-21,Zanzibar,Vegetables (fresh),400
2845-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",1522.5
2845-001-01,2020-21,Mainland Rural,Coconuts,509.9168207
2845-001-01,2020-21,Mainland Rural,Fish (fresh),179.1666667
2845-001-01,2020-21,Mainland Rural,Maize (flour),2000
2845-001-01,2020-21,Mainland Rural,Milk (fresh),250
2845-001-01,2020-21,Mainland Rural,Nuts,446.4285714
2845-001-01,2020-21,Mainland Rural,Other Fruits,1733.870968
2845-001-01,2020-21,Mainland Rural,Salt,100
2845-001-01,2020-21,Mainland Rural,Sugar,700
2845-001-01,2020-21,Mainland Rural,Tea (dry),300
2865-001-02,2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",1212.244898
2865-001-02,2020-21,Mainland Other Urban,Citrus Fruits,1225
2865-001-02,2020-21,Mainland Other Urban,Cooking Oil,2500
2865-001-02,2020-21,Mainland Other Urban,Fish (fresh),12000
2865-001-02,2020-21,Mainland Other Urban,Leafy Greens,1772.032656
2865-001-02,2020-21,Mainland Other Urban,Maize (flour),3000
2865-001-02,2020-21,Mainland Other Urban,Other Fruits,1000
2865-001-02,2020-21,Mainland Other Urban,Plantains,1666.666667
2865-001-02,2020-21,Mainland Other Urban,Salt,250
2865-001-02,2020-21,Mainland Other Urban,Seeds,1500
2865-001-02,2020-21,Mainland Other Urban,Soft drinks,1428.571429
2882-001-01,2020-21,Mainland Rural,Beef,6000
2882-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",2000
2882-001-01,2020-21,Mainland Rural,Coconuts,1500
2882-001-01,2020-21,Mainland Rural,Cooking Oil,1250
2882-001-01,2020-21,Mainland Rural,Eggs,2100
2882-001-01,2020-21,Mainland Rural,Fish (dried),20222.22222
2882-001-01,2020-21,Mainland Rural,Irish Potatoes,1000
2882-001-01,2020-21,Mainland Rural,Leafy Greens,480.6408545
2882-001-01,2020-21,Mainland Rural,Maize (flour),5250
2882-001-01,2020-21,Mainland Rural,Pulses,2000
2882-001-01,2020-21,Mainland Rural,Rice (husked),5250
2882-001-01,2020-21,Mainland Rural,Salt,150
2882-001-01,2020-21,Mainland Rural,Sugar,9800
2882-001-01,2020-21,Mainland Rural,Tea (dry),140
2882-001-01,2020-21,Mainland Rural,Vegetables (fresh),2105.064309
2906-001-01,2020-21,Mainland Rural,Cooking Oil,1250
2906-001-01,2020-21,Mainland Rural,Maize (flour),3500
2906-001-01,2020-21,Mainland Rural,Pulses,5000
2906-001-01,2020-21,Mainland Rural,Salt,100
2906-001-01,2020-21,Mainland Rural,Vegetables (fresh),720
2919-001-01,2020-21,Mainland Rural,Cooking Oil,1000
2919-001-01,2020-21,Mainland Rural,Fish (fresh),250
2919-001-01,2020-21,Mainland Rural,Maize (flour),9000
2919-001-01,2020-21,Mainland Rural,Pulses,6000
2919-001-01,2020-21,Mainland Rural,Salt,200
2919-001-01,2020-21,Mainland Rural,Sugar,420
2919-001-01,2020-21,Mainland Rural,Tea (dry),30
2919-001-01,2020-21,Mainland Rural,Vegetables (fresh),126.3038585
2939-001-01,2020-21,Mainland Rural,Cassava Fresh,1000
2939-001-01,2020-21,Mainland Rural,Chicken,4333.333333
2939-001-01,2020-21,Mainland Rural,Cooking Oil,1250
2939-001-01,2020-21,Mainland Rural,Maize (flour),10000
2939-001-01,2020-21,Mainland Rural,Maize (grain),700
2939-001-01,2020-21,Mainland Rural,Pulses,4000
2939-001-01,2020-21,Mainland Rural,Rice (husked),1400
2939-001-01,2020-21,Mainland Rural,Salt,320
2939-001-01,2020-21,Mainland Rural,Vegetables (fresh),781.8810289
2939-001-01,2020-21,Mainland Rural,Vegetables (preserved),380
2963-001-01,2020-21,Mainland Rural,Cooking Oil,1250
2963-001-01,2020-21,Mainland Rural,Leafy Greens,1602.136182
2963-001-01,2020-21,Mainland Rural,Maize (flour),10000
2963-001-01,2020-21,Mainland Rural,Maize (grain),700
2963-001-01,2020-21,Mainland Rural,Pulses,1000
2963-001-01,2020-21,Mainland Rural,Salt,125
2963-001-01,2020-21,Mainland Rural,Vegetables (fresh),1804.340836
3020-001-01,2020-21,Mainland Rural,Beef,6000
3020-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",3950
3020-001-01,2020-21,Mainland Rural,Cassava Dry/Flour,14000
3020-001-01,2020-21,Mainland Rural,Cooking Oil,2000
3020-001-01,2020-21,Mainland Rural,Fish (fresh),4166.666667
3020-001-01,2020-21,Mainland Rural,Leafy Greens,2563.417891
3020-001-01,2020-21,Mainland Rural,Milk (fresh),2000
3020-001-01,2020-21,Mainland Rural,Millet & Sorghum (grain),6000
3020-001-01,2020-21,Mainland Rural,Pulses,2000
3020-001-01,2020-21,Mainland Rural,Salt,300
3020-001-01,2020-21,Mainland Rural,Sugar,2800
3020-001-01,2020-21,Mainland Rural,Vegetables (fresh),3837.231511
3037-001-01,2020-21,Mainland Rural,Chicken,8666.666667
3037-001-01,2020-21,Mainland Rural,Cooking Oil,1750
3037-001-01,2020-21,Mainland Rural,Groundnuts,2000
3037-001-01,2020-21,Mainland Rural,"Macaroni, Spaghetti",2600
3037-001-01,2020-21,Mainland Rural,Maize (flour),7000
3037-001-01,2020-21,Mainland Rural,"Maize (green, cob)",671.1111111
3037-001-01,2020-21,Mainland Rural,Other Fruits,774.1935484
3037-001-01,2020-21,Mainland Rural,Pulses,2000
3037-001-01,2020-21,Mainland Rural,Rice (husked),1400
3037-001-01,2020-21,Mainland Rural,Salt,200
3037-001-01,2020-21,Mainland Rural,Tea (dry),100
3037-001-01,2020-21,Mainland Rural,Yams/Cocoyams,1025.641026
3057-001-01,2020-21,Mainland Other Urban,Fish (dried),5941.176471
3057-001-01,2020-21,Mainland Other Urban,Maize (flour),5000
3057-001-01,2020-21,Mainland Other Urban,Salt,200
3074-001-01,2020-21,Mainland Rural,Cooking Oil,2500
3074-001-01,2020-21,Mainland Rural,Dairy Products,14000
3074-001-01,2020-21,Mainland Rural,Fish (fresh),20208.33333
3074-001-01,2020-21,Mainland Rural,Leafy Greens,1538.050734
3074-001-01,2020-21,Mainland Rural,Maize (flour),18000
3074-001-01,2020-21,Mainland Rural,Rice (husked),5600
3074-001-01,2020-21,Mainland Rural,Salt,350
3074-001-01,2020-21,Mainland Rural,Sugar,2800
3074-001-01,2020-21,Mainland Rural,Vegetables (fresh),3548.536977
3112-001-01,2020-21,Mainland Rural,Cassava Dry/Flour,1400
3112-001-01,2020-21,Mainland Rural,Cooking Oil,1500
3112-001-01,2020-21,Mainland Rural,Fish (fresh),1333.333333
3112-001-01,2020-21,Mainland Rural,Maize (flour),4000
3112-001-01,2020-21,Mainland Rural,Salt,70
3112-001-01,2020-21,Mainland Rural,Vegetables (fresh),1419.414791
3112-001-01,2020-21,Mainland Rural,Vegetables (preserved),1850
3128-001-01,2020-21,Mainland Rural,Cooking Oil,1250
3128-001-01,2020-21,Mainland Rural,Fish (dried),2888.888889
3128-001-01,2020-21,Mainland Rural,Fish (fresh),3125
3128-001-01,2020-21,Mainland Rural,Leafy Greens,3925.233645
3128-001-01,2020-21,Mainland Rural,Local Brews,3000
3128-001-01,2020-21,Mainland Rural,Maize (flour),15000
3128-001-01,2020-21,Mainland Rural,Other Fruits,20161.29032
3128-001-01,2020-21,Mainland Rural,Salt,300
3151-001-02,2020-21,Mainland Other Urban,Beef,3500
3151-001-02,2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",505.1020408
3151-001-02,2020-21,Mainland Other Urban,Cooking Oil,1750
3151-001-02,2020-21,Mainland Other Urban,Groundnuts,428.5714286
3151-001-02,2020-21,Mainland Other Urban,Leafy Greens,2525.146535
3151-001-02,2020-21,Mainland Other Urban,Maize (flour),7000
3151-001-02,2020-21,Mainland Other Urban,Other Fruits,1422.300263
3151-001-02,2020-21,Mainland Other Urban,Pulses,6000
3151-001-02,2020-21,Mainland Other Urban,Rice (husked),6000
3151-001-02,2020-21,Mainland Other Urban,Salt,250
3151-001-02,2020-21,Mainland Other Urban,Sugar,840
3151-001-02,2020-21,Mainland Other Urban,Tea (dry),700
3151-001-02,2020-21,Mainland Other Urban,Vegetables (fresh),3408.088235
3186-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",600
3186-001-01,2020-21,Mainland Rural,Cooking Oil,1750
3186-001-01,2020-21,Mainland Rural,Eggs,900
3186-001-01,2020-21,Mainland Rural,Fish (dried),2888.888889
3186-001-01,2020-21,Mainland Rural,"Honey, Syrups, etc.",840
3186-001-01,2020-21,Mainland Rural,Leafy Greens,288.3845127
3186-001-01,2020-21,Mainland Rural,Maize (flour),10500
3186-001-01,2020-21,Mainland Rural,Other Fruits,8064.516129
3186-001-01,2020-21,Mainland Rural,Plantains,6642.066421
3186-001-01,2020-21,Mainland Rural,Pulses,1000
3186-001-01,2020-21,Mainland Rural,Rice (husked),2800
3186-001-01,2020-21,Mainland Rural,Ripe Bananas,450
3186-001-01,2020-21,Mainland Rural,Salt,300
3186-001-01,2020-21,Mainland Rural,Vegetables (fresh),577.3890675
3206-001-01,2020-21,Mainland Rural,Cassava Fresh,1345
3206-001-01,2020-21,Mainland Rural,Eggs,675
3206-001-01,2020-21,Mainland Rural,Fish (dried),2646.222222
3206-001-01,2020-21,Mainland Rural,Goat Meat,3000
3206-001-01,2020-21,Mainland Rural,Groundnuts,420
3206-001-01,2020-21,Mainland Rural,Leafy Greens,1890.520694
3206-001-01,2020-21,Mainland Rural,Maize (flour),7000
3206-001-01,2020-21,Mainland Rural,Maize (grain),2100
3206-001-01,2020-21,Mainland Rural,Other Fruits,2070.967742
3206-001-01,2020-21,Mainland Rural,Plantains,1661.070111
3206-001-01,2020-21,Mainland Rural,Pulses,4000
3206-001-01,2020-21,Mainland Rural,Rice (husked),4200
3206-001-01,2020-21,Mainland Rural,Ripe Bananas,1687
3206-001-01,2020-21,Mainland Rural,Salt,348
3206-001-01,2020-21,Mainland Rural,Soft drinks,500
3206-001-01,2020-21,Mainland Rural,Sugar,2800
3206-001-01,2020-21,Mainland Rural,Sugarcane,854.3052632
3206-001-01,2020-21,Mainland Rural,Vegetables (fresh),1833.210289
3206-001-01,2020-21,Mainland Rural,Yams/Cocoyams,3560
3226-001-02,2020-21,Mainland Rural,Cooking Oil,1750
3226-001-02,2020-21,Mainland Rural,Leafy Greens,208.2777036
3226-001-02,2020-21,Mainland Rural,Maize (flour),7000
3226-001-02,2020-21,Mainland Rural,Other Fruits,4990.322581
3226-001-02,2020-21,Mainland Rural,Pulses,10000
3226-001-02,2020-21,Mainland Rural,Salt,133
3226-001-02,2020-21,Mainland Rural,Soft drinks,1000
3226-001-02,2020-21,Mainland Rural,Vegetables (fresh),6003.643408
3248-001-01,2020-21,Mainland Other Urban,Beef,7000
3248-001-01,2020-21,Mainland Other Urban,"Buns, Cakes And Biscuits",2230.530612
3248-001-01,2020-21,Mainland Other Urban,Cassava Fresh,1944.483333
3248-001-01,2020-21,Mainland Other Urban,Chicken,10000
3248-001-01,2020-21,Mainland Other Urban,Cooking Oil,5000
3248-001-01,2020-21,Mainland Other Urban,Eggs,1833.333333
3248-001-01,2020-21,Mainland Other Urban,Fish (dried),1485.294118
3248-001-01,2020-21,Mainland Other Urban,Fish (fresh),6000
3248-001-01,2020-21,Mainland Other Urban,Groundnuts,225.7142857
3248-001-01,2020-21,Mainland Other Urban,Irish Potatoes,3569
3248-001-01,2020-21,Mainland Other Urban,Leafy Greens,767.2901403
3248-001-01,2020-21,Mainland Other Urban,Maize (flour),7000
3248-001-01,2020-21,Mainland Other Urban,Other Fruits,853.380158
3248-001-01,2020-21,Mainland Other Urban,Other Spices,877.2
3248-001-01,2020-21,Mainland Other Urban,Plantains,2881.666667
3248-001-01,2020-21,Mainland Other Urban,Pulses,4000
3248-001-01,2020-21,Mainland Other Urban,Rice (husked),10500
3248-001-01,2020-21,Mainland Other Urban,Ripe Bananas,548.3333333
3248-001-01,2020-21,Mainland Other Urban,Salt,206
3248-001-01,2020-21,Mainland Other Urban,Soft drinks,2000
3248-001-01,2020-21,Mainland Other Urban,Sugar,2800
3248-001-01,2020-21,Mainland Other Urban,Tea (dry),200
3248-001-01,2020-21,Mainland Other Urban,Vegetables (fresh),1943.872549
3262-001-01,2020-21,Mainland Rural,"Buns, Cakes And Biscuits",1862.5
3262-001-01,2020-21,Mainland Rural,Chicken,4333.333333
3262-001-01,2020-21,Mainland Rural,Dairy Products,1000
3262-001-01,2020-21,Mainland Rural,Fish (dried),2652
3262-001-01,2020-21,Mainland Rural,Groundnuts,1000
3262-001-01,2020-21,Mainland Rural,Leafy Greens,1079.038718
3262-001-01,2020-21,Mainland Rural,Local Brews,1000
3262-001-01,2020-21,Mainland Rural,Maize (flour),42000
3262-001-01,2020-21,Mainland Rural,Pulses,4000
3262-001-01,2020-21,Mainland Rural,Ripe Bananas,976
3262-001-01,2020-21,Mainland Rural,Salt,125
3262-001-01,2020-21,Mainland Rural,Soft drinks,857.1428571
3262-001-01,2020-21,Mainland Rural,Sugar,700
3262-001-01,2020-21,Mainland Rural,Sugarcane,189.2526316
3262-001-01,2020-21,Mainland Rural,Sweets,250
3262-001-01,2020-21,Mainland Rural,Tea (dry),150
3262-001-01,2020-21,Mainland Rural,Vegetables (fresh),477.5488746
3286-001-01,2020-21,Zanzibar,Bread,3000
3286-001-01,2020-21,Zanzibar,Chicken,15000
3286-001-01,2020-21,Zanzibar,Citrus Fruits,1000
3286-001-01,2020-21,Zanzibar,Coconuts,6720
3286-001-01,2020-21,Zanzibar,Fish (fresh),8785.714286
3286-001-01,2020-21,Zanzibar,Irish Potatoes,2000
3286-001-01,2020-21,Zanzibar,Maize (flour),2800
3286-001-01,2020-21,Zanzibar,Milk (dry or canned),12000
3286-001-01,2020-21,Zanzibar,Rice (husked),8400
3286-001-01,2020-21,Zanzibar,Salt,150
3286-001-01,2020-21,Zanzibar,Sugar,2000
3286-001-01,2020-21,Zanzibar,Tea (dry),200
3286-001-01,2020-21,Zanzibar,Vegetables (fresh),800
3286-001-01,2020-21,Zanzibar,Wheat Flour,4500
3325-001-01,2020-21,Zanzibar,Beef,10000
3325-001-01,2020-21,Zanzibar,"Butter, Etc.",2000
3325-001-01,2020-21,Zanzibar,Chicken,7500
3325-001-01,2020-21,Zanzibar,Citrus Fruits,2000
3325-001-01,2020-21,Zanzibar,Coconuts,8400
3325-001-01,2020-21,Zanzibar,Cooking Oil,2000
3325-001-01,2020-21,Zanzibar,Eggs,1900
3325-001-01,2020-21,Zanzibar,Fish (fresh),8785.714286
3325-001-01,2020-21,Zanzibar,Irish Potatoes,1000
3325-001-01,2020-21,Zanzibar,Leafy Greens,2111.111111
3325-001-01,2020-21,Zanzibar,Milk (fresh),3000
3325-001-01,2020-21,Zanzibar,Other Fruits,4000
3325-001-01,2020-21,Zanzibar,Plantains,6000
3325-001-01,2020-21,Zanzibar,Pulses,2800
3325-001-01,2020-21,Zanzibar,Rice (husked),16800
3325-001-01,2020-21,Zanzibar,Ripe Bananas,4000
3325-001-01,2020-21,Zanzibar,Salt,250
3325-001-01,2020-21,Zanzibar,Soft drinks,20000
3325-001-01,2020-21,Zanzibar,Sugar,2000
3325-001-01,2020-21,Zanzibar,Tea (dry),200
3325-001-01,2020-21,Zanzibar,Vegetables (fresh),4800
3325-001-01,2020-21,Zanzibar,Wheat Flour,7500
3339-001-01,2020-21,Zanzibar,Bread,5714.285714
3339-001-01,2020-21,Zanzibar,Chicken,15000
3339-001-01,2020-21,Zanzibar,Citrus Fruits,1000
3339-001-01,2020-21,Zanzibar,Coconuts,6000
3339-001-01,2020-21,Zanzibar,Cooking Oil,2000
3339-001-01,2020-21,Zanzibar,Eggs,2216.666667
3339-001-01,2020-21,Zanzibar,Fish (fresh),4392.857143
3339-001-01,2020-21,Zanzibar,Irish Potatoes,2000
3339-001-01,2020-21,Zanzibar,Rice (husked),28560
3339-001-01,2020-21,Zanzibar,Salt,300
3339-001-01,2020-21,Zanzibar,Sugar,2000
3339-001-01,2020-21,Zanzibar,Vegetables (fresh),4800
3339-001-01,2020-21,Zanzibar,Wheat Flour,3000
3364-001-01,2020-21,Zanzibar,Bread,4514.285714
3364-001-01,2020-21,Zanzibar,Citrus Fruits,833.3333333
3364-001-01,2020-21,Zanzibar,Cooking Oil,2000
3364-001-01,2020-21,Zanzibar,Fish (fresh),4392.857143
3364-001-01,2020-21,Zanzibar,Irish Potatoes,1000
3364-001-01,2020-21,Zanzibar,Rice (husked),8400
3364-001-01,2020-21,Zanzibar,Salt,500
3364-001-01,2020-21,Zanzibar,Tea (dry),250
3364-001-01,2020-21,Zanzibar,Vegetables (fresh),1600
3364-001-01,2020-21,Zanzibar,Wheat Flour,1500
3378-001-01,2020-21,Zanzibar,Bread,2857.142857
3378-001-01,2020-21,Zanzibar,"Buns, Cakes And Biscuits",1000
3378-001-01,2020-21,Zanzibar,Cooking Oil,1000
3378-001-01,2020-21,Zanzibar,Fish (fresh),2196.428571
3378-001-01,2020-21,Zanzibar,Maize (flour),1400
3378-001-01,2020-21,Zanzibar,Other Fruits,1000
3378-001-01,2020-21,Zanzibar,Rice (husked),1680
3378-001-01,2020-21,Zanzibar,Ripe Bananas,500
3378-001-01,2020-21,Zanzibar,Salt,100
3378-001-01,2020-21,Zanzibar,Sugar,500
3378-001-01,2020-21,Zanzibar,Sweet Potatoes,500
3378-001-01,2020-21,Zanzibar,Tea (dry),100
3378-001-01,2020-21,Zanzibar,Vegetables (fresh),800
3399-001-01,2020-21,Zanzibar,Bread,5000
3399-001-01,2020-21,Zanzibar,Coconuts,16800
3399-001-01,2020-21,Zanzibar,Cooking Oil,2000
3399-001-01,2020-21,Zanzibar,Eggs,3166.666667
3399-001-01,2020-21,Zanzibar,Fish (fresh),8785.714286
3399-001-01,2020-21,Zanzibar,Irish Potatoes,1000
3399-001-01,2020-21,Zanzibar,Leafy Greens,738.8888889
3399-001-01,2020-21,Zanzibar,Maize (flour),1400
3399-001-01,2020-21,Zanzibar,Other Spices,437.5
3399-001-01,2020-21,Zanzibar,Plantains,6000
3399-001-01,2020-21,Zanzibar,Pulses,1400
3399-001-01,2020-21,Zanzibar,Rice (husked),11760
3399-001-01,2020-21,Zanzibar,Salt,250
3399-001-01,2020-21,Zanzibar,Sugar,2000
3399-001-01,2020-21,Zanzibar,Tea (dry),200
3399-001-01,2020-21,Zanzibar,Vegetables (fresh),4800
3399-001-01,2020-21,Zanzibar,Wheat Flour,1500
3435-001-01,2020-21,Zanzibar,Beef,10000
3435-001-01,2020-21,Zanzibar,"Butter, Etc.",2000
3435-001-01,2020-21,Zanzibar,Chicken,7500
3435-001-01,2020-21,Zanzibar,Citrus Fruits,1000
3435-001-01,2020-21,Zanzibar,Coconuts,5880
3435-001-01,2020-21,Zanzibar,Cooking Oil,4000
3435-001-01,2020-21,Zanzibar,Fish (fresh),4392.857143
3435-001-01,2020-21,Zanzibar,Irish Potatoes,1000
3435-001-01,2020-21,Zanzibar,Leafy Greens,1055.555556
3435-001-01,2020-21,Zanzibar,Maize (flour),1400
3435-001-01,2020-21,Zanzibar,Milk (fresh),3000
3435-001-01,2020-21,Zanzibar,Other Fruits,4000
3435-001-01,2020-21,Zanzibar,Other Spices,625
3435-001-01,2020-21,Zanzibar,Pulses,1400
3435-001-01,2020-21,Zanzibar,Rice (husked),23520
3435-001-01,2020-21,Zanzibar,Salt,250
3435-001-01,2020-21,Zanzibar,Soft drinks,4000
3435-001-01,2020-21,Zanzibar,Sugar,2000
3435-001-01,2020-21,Zanzibar,Tea (dry),300
3435-001-01,2020-21,Zanzibar,Vegetables (fresh),4800
3435-001-01,2020-21,Zanzibar,Wheat Flour,7500
